lecture_id,r_id,degree
50,474,0.2625998146
50,352,0.2024044847
50,13,0.1885695629
50,462,0.1875792648
50,691,0.1874136673
50,95,0.179313396
50,580,0.1692511032
50,134,0.1654913587
51,19,0.2332794029
51,583,0.1894264656
51,596,0.1846727973
51,514,0.1750974944
51,743,0.1672207137
51,212,0.1551663452
51,352,0.1522037147
51,12,0.1477676766
51,31,0.1425262654
52,654,0.6897275813
52,177,0.3991397625
52,295,0.3823348878
52,721,0.3823348878
52,455,0.3346846994
52,708,0.3346846994
52,30,0.3330483205
52,436,0.2753993372
52,29,0.2663573724
53,455,0.1702836661
53,708,0.1702836661
53,177,0.168829981
53,29,0.1683112086
53,194,0.1683112086
53,295,0.1670656488
53,721,0.1670656488
53,717,0.1442963763
53,562,0.142735224
54,734,0.2532297338
54,753,0.2532297338
54,98,0.1788875881
54,334,0.1407515696
54,744,0.1273085211
54,242,0.1160103297
54,659,0.1139629116
54,625,0.1135555516
54,260,0.1125986302
55,1,0.2477556907
55,532,0.2193162294
55,29,0.205739062
55,194,0.205739062
55,276,0.1947489026
55,455,0.179655742
55,708,0.179655742
55,161,0.1750707796
55,52,0.1620017576
56,621,0.3161196096
56,644,0.2709199927
56,731,0.2561178761
56,700,0.243756887
56,714,0.243756887
56,550,0.2412241859
56,508,0.2126353839
56,346,0.1727081148
56,687,0.1711022868
57,15,0.9280890257
57,108,0.9280890257
57,258,0.9280890257
57,624,0.9280890257
57,711,0.9280890257
57,23,0.9261998649
57,131,0.9261998649
57,205,0.9261998649
57,329,0.9261998649
58,260,0.4098040503
58,203,0.3251764686
58,500,0.3251764686
58,423,0.298089579
58,415,0.2966031688
58,153,0.2844986799
58,424,0.2765684342
58,385,0.2529295007
58,635,0.2529295007
59,281,0.2444295822
59,630,0.2383282409
59,166,0.206439959
59,330,0.1995336846
59,447,0.1995336846
59,684,0.1995336846
59,379,0.1647495279
59,606,0.1395505443
59,453,0.1316837472
60,581,0.2465124829
60,741,0.2465124829
60,330,0.1964706178
60,447,0.1964706178
60,684,0.1964706178
60,563,0.1888263132
60,453,0.187924516
60,351,0.1663119334
60,417,0.1634063795
61,380,0.2597897113
61,306,0.2496632932
61,482,0.2369494967
61,242,0.2248727307
61,371,0.1906927054
61,623,0.1827120842
61,182,0.1759511331
61,692,0.16506967
61,163,0.1580535226
62,29,0.2042214666
62,194,0.2042214666
62,187,0.178953978
62,30,0.166885166
62,455,0.1609861146
62,708,0.1609861146
62,295,0.1578751727
62,721,0.1578751727
62,438,0.1573130344
63,233,0.53752184
63,232,0.2468470902
63,21,0.1468181285
63,528,0.1457444721
63,482,0.1079460034
63,615,0.1062068505
63,696,0.1062068505
63,579,0.09654663167
63,601,0.09654663167
64,460,0.4273997851
64,490,0.3046183796
64,720,0.2194070643
64,293,0.2165972018
64,762,0.2124384523
64,374,0.1916627346
64,457,0.128548307
64,187,0.1275777979
64,498,0.1219374672
65,291,0.5835026362
65,352,0.3312801183
65,115,0.3192728472
65,462,0.2352876436
65,13,0.2140677911
65,314,0.2095381941
65,433,0.1853731133
65,241,0.1845721372
65,519,0.1845721372
66,662,0.2700984688
66,368,0.1999001463
66,378,0.1877957915
66,595,0.1866730677
66,668,0.1834983697
66,290,0.1666262915
66,79,0.1584931634
66,277,0.1584931634
66,296,0.1584931634
67,564,0.3482444633
67,563,0.2344571948
67,199,0.2169248585
67,245,0.2169248585
67,338,0.2078431004
67,31,0.1758377318
67,474,0.1746524916
67,152,0.1630059463
67,716,0.1611488106
68,278,0.3612809088
68,384,0.2900192557
68,19,0.2287037167
68,707,0.2270727879
68,244,0.1975881673
68,90,0.1884379654
68,193,0.1882830324
68,719,0.1842850813
68,158,0.1837820231
69,463,0.4137085386
69,303,0.4097777668
69,411,0.3869004269
69,302,0.3623517051
69,124,0.3505723878
69,321,0.3408895016
69,576,0.3408895016
69,337,0.330397958
69,342,0.330397958
70,455,0.2092333407
70,708,0.2092333407
70,29,0.1970047894
70,194,0.1970047894
70,295,0.1825937892
70,721,0.1825937892
